stage_num,wave_num,category,reward_id,weight,appearance_count,appearance_rate
1,1,ball,clockwork,1.00,37458,0.374580
1,1,ball,rubber,1.00,37448,0.374480
1,1,ball,gel,1.00,100000,1.000000
1,1,ball,lead,1.00,62526,0.625260
1,1,ball,hollow_bell,1.00,62568,0.625680
1,1,part,starlight_brooch,1.00,75114,0.751140
1,1,part,golden_gears,1.00,49980,0.499800
1,1,part,crescent_needle,1.00,74906,0.749060
1,1,part,forgotten_star_bell,1.00,100000,1.000000
1,2,ball,clockwork,1.00,52557,0.525570
1,2,ball,rubber,1.00,37694,0.376940
1,2,ball,gel,1.00,64986,0.649860
1,2,ball,lead,1.00,77299,0.772990
1,2,ball,hollow_bell,1.00,67464,0.674640
1,2,part,starlight_brooch,1.00,75015,0.750150
1,2,part,golden_gears,1.00,50411,0.504110
1,2,part,crescent_needle,1.00,74574,0.745740
1,2,part,forgotten_star_bell,1.00,100000,1.000000
1,3,ball,clockwork,1.00,52299,0.522990
1,3,ball,rubber,1.00,37575,0.375750
1,3,ball,gel,1.00,65047,0.650470
1,3,ball,lead,1.00,77403,0.774030
1,3,ball,hollow_bell,1.00,67676,0.676760
1,3,part,starlight_brooch,1.00,75395,0.753950
1,3,part,golden_gears,1.00,49933,0.499330
1,3,part,crescent_needle,1.00,74672,0.746720
1,3,part,forgotten_star_bell,1.00,100000,1.000000
